Company Name,Website,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Primary SIC Code,Executive Ethnicity,Executive Gender,Random_number
Lifebridge Community Church,Mylifebridge.Org,Kevin D,Foster,3535 N Cornelia Ave,Fresno,CA,93722,866107,Western Europe,Male,0.002929841
Cedar Ford Baptist Church,Chamberofcommerce.Com,Albert,Baumgardner,3201 Highway 61 E,Luttrell,TN,37779,866107,Western Europe,Male,0.002930283
Galmey Community Bible Church,Galmeychurch.Com,Rick,Walters,Rt 2,Wheatland,MO,65779,866107,Western Europe,Male,0.002937974
Groves Memorial Presbyterian,Grovesmemchurchva.Org,Bill,Mc Cullough,9117 Glass Rd,Hayes,VA,23072,866107,Western Europe,Male,0.002944377
Temple Lutheran Church,Templelutheran.Org,Timothy,Johansen,501 Brookline Blvd,Havertown,PA,19083,866107,Scandinavian,Male,0.002956078
First United Mthdst Chr Wdbry,Woodburyumctn.Com,John W,Hembree,502 W High St,Woodbury,TN,37190,866107,Western Europe,Male,0.002963859
Merriman Road Baptist Church,Mrbc.Us,Wayne H,Parker,2055 Merriman Rd,Garden City,MI,48135,866107,Western Europe,Male,0.002965567
Mound Road Christian Church,Moundchristian.Com,George,Virden,790 E Mound Rd,Decatur,IL,62526,866107,Western Europe,Male,0.002972859
Cool Springs Baptist Church,Coolspringsbaptistchurch.Org,,,820 E Moravian Bnd,Chatsworth,GA,30705,866107,Uncoded,,0.002979483
Third Christian Reformed Chr,Thirdcrc.Net,Lyle,Ahrenholz,10 W Central Ave,Zeeland,MI,49464,866107,Western Europe,Male,0.002992129
First Baptist Church,Lagrandefbc.Org,Mark,Claudson,1110 Spring Ave,La Grande,OR,97850,866107,Western Europe,Male,0.003005351
Unity Church Of Gulfport,Unitygulfport.Com,Judy,Voght,1700 E Railroad St,Gulfport,MS,39501,866107,Western Europe,Female,0.003006314
Mt Beulah Baptist Church,Mtbeulahbaptist.Com,Fain,Farmer,5306 Dallas Cherryville Hwy,Bessemer City,NC,28016,866107,Western Europe,Male,0.003007167
Southern Idaho District,Simnag.Org,,,711 Lone Star Rd,Nampa,ID,83651,866106,Uncoded,,0.003015999
Salem Lighthouse Baptist,Salemlighthousebaptist.Com,John,Freeman,290 W Main St,Salem,WV,26426,866107,Western Europe,Male,0.003017281
Gospel Lighthouse,Glhag.Org,Darrin,Vail,144 S College St,La Grange,TX,78945,866107,Western Europe,Male,0.00301833
St John Umc,Oakgroveumc.Net,Mark D,Mitchell,215 Oak Grove Church Rd,Ridgeville,SC,29472,866107,Western Europe,Male,0.003023468
Church-The Lakes United Mthdst,Churchofthelakes.Org,Bryan L,George,5944 Fulton Dr NW,Canton,OH,44718,866107,Western Europe,Male,0.003026576
Community Presbyterian Church,Cedarpres.Org,Nancy,Pearson,2279 N Wedgewood Ln,Cedar City,UT,84721,866107,Western Europe,Female,0.003037089
Trinity United Methodist Chr,Trinitycartersville.Com,Steve,Lyle,814 West Ave,Cartersville,GA,30120,866107,Western Europe,Male,0.003039782
Episcopal Church-Holy Spirit,Holyspiritwnc.Org,David,Mc Nair,433 Bone Camp Rd,Marshall,NC,28753,866107,Western Europe,Male,0.003042634
Virgina Beach Chr-The Nazarene,Vb1naz.Org,Marlon,King,4413 Wishart Rd,Virginia Beach,VA,23455,866107,Western Europe,Male,0.003061018
Victory Christian Fellowship,Victorycf.Org,Jim,Bates,2665 E 14th Ave,Columbus,NE,68601,866107,Western Europe,Male,0.003068523
Christ Ascension Lutheran Chr,Christascension.Org,Jay,Mitchell,8300 Germantown Ave,Philadelphia,PA,19118,866107,Western Europe,Male,0.003071408
Kailua Missionary Baptist Chr,Patskailua.Com,Keoki,Awai,205 N Kalaheo Ave,Kailua,HI,96734,866107,Pacific Islander,Male,0.003074125
First United Mthdst Chr,Chandlerfumc.Org,Bryan,Harkness,507 N Broad St,Chandler,TX,75758,866106,Western Europe,Male,0.00308372
Cahaba Heights United Mthdst,Cahabaheightsumc.Net,Rusty,Glasgow,3139 Cahaba Heights Rd,Vestavia,AL,35243,866107,Western Europe,Male,0.003088613
Cobbc,Cobbc.Org,Greg,Dotson,7395 Stateline Rd,Olive Branch,MS,38654,866107,Western Europe,Male,0.003090289
Vineyard Christian Fellowship,Thevineyardchurch.Us,Happy,Leman,1500 N Lincoln Ave,Urbana,IL,61801,866107,Western Europe,Female,0.003097518
First Baptist Chr Of Freeport,Firstbaptistchurchoffreepoprt.Com,Sandy,Williams,185 Main St,Freeport,ME,4032,866107,Western Europe,Female,0.003101825
Faith United Methodist Church,Faithumccambridge.Com,Everett,Stoddard,500 S 7th St,Cambridge,OH,43725,866107,Western Europe,Male,0.003107205
Aberlena Baptist Church,Aberlenabaptistchurch.Com,Harold H,Wynn Jr,1260 Riverside Dr,Macon,GA,31201,866107,Western Europe,Male,0.003107654
Stafford Church Of Christ,Staffordchurchofchrist.Org,Gene,Polvado,402 Stafford Run Rd,Stafford,TX,77477,866107,Uncoded,Male,0.003117488
Our Savior Lutheran Church,Oursavior-Tworivers.Org,Luke I,Tembreull,2140 34th St,Two Rivers,WI,54241,866107,Uncoded,Male,0.003118411
Woodcrest,Woodcrest.Org,Peter,Van Ward,2201 W Nifong Blvd,Columbia,MO,65203,866107,Western Europe,Male,0.003119143
Bible Way Baptist Church,Biblewaybc.Org,Timothy,Crockett,18 Heard St,Auburn,MA,1501,866107,Western Europe,Male,0.003122479
Asbury United Methodist Church,Gbgm-Umc.Org,Betty,Megill,61 Atlantic Ave,Long Branch,NJ,7740,866107,Western Europe,Female,0.003131544
Refuge Church,Refugechurch.Info,Steven,Shively,6855 Portola Rd,Atascadero,CA,93422,866107,Western Europe,Male,0.003174703
River Lake Baptist Church,Riverlakebaptist.Org,John,Johnson,4560 Highway 70 W,Waverly,TN,37185,866107,Western Europe,Male,0.003177722
Security Baptist Church,Westrepublicbaptist.Com,C,Beck,354 US Highway 60 W,Republic,MO,65738,866107,Western Europe,,0.003196277
Southwest Church Of Christ,Swcofc.Net,Lory,Furr,8900 Manchaca Rd,Austin,TX,78748,866107,Western Europe,Female,0.003196772
Divine Faith Baptist Church,Divinefaithbc.Org,James,Williams Jr,1366 Cokey Rd,Rocky Mount,NC,27801,866107,Western Europe,Male,0.003197772
Dwelling Place Church,Dwellingplace.Org,Marcus,Carruthers,1855 N Porter Rd,Fayetteville,AR,72704,866107,Western Europe,Male,0.003213742
Grace Ministries,Grace-Ministries.Org,Ryan,Gray,800 W Peak Blvd,Muskogee,OK,74401,866107,Western Europe,Male,0.003214272
St Luke Fwb Church,Stlukefwbchurch.Com,Joe N,Dixon,306 W King St,La Grange,NC,28551,866107,Western Europe,Male,0.003220551
First Christian Church,Disciples.Org,Robert,Lovett,75 Merrimans Ln,Winchester,VA,22601,866107,Western Europe,Male,0.003238353
Mountain Grove Baptist Church,Mountaingrove.Org,H Clifton,Black,2485 Connelly Springs Rd,Granite Falls,NC,28630,866107,Western Europe,Male,0.00324058
Parkway South Seventhday,Parkwaysouthnj.Adventistchurch.Org,Oscar O,Rodriguez,9 Roosevelt Blvd,Marmora,NJ,8223,866107,Hispanic,Male,0.003246585
Impact Ministries,Impactministries.Com,Steve,Olson,508 County Road Bb,Woodville,WI,54028,866107,Scandinavian,Male,0.003259889
Centro Cristiano Familiar,Ccfpenitas.Com,Rafael,Hernandez Jr,18010 Date Palm Dr,Penitas,TX,78576,866107,Hispanic,Male,0.003262861
Calvary Russian Baptist Church,Byelorussianmission.Org,Andrew,Ryzhkov,829 Atlanta Rd,Cumming,GA,30040,866107,Eastern European,Male,0.003266935
Eagle Bend Apostolic Church,Eaglebendapostolic.Org,,,1740 N Charles G Seivers Blvd,Clinton,TN,37716,866107,Uncoded,,0.003268802
Faith Baptist Church,Faithbaptiststacy.Org,Jerry,Maart,32341 Forest Blvd,Stacy,MN,55079,866107,Scandinavian,Male,0.003268954
Grace West Church,Gracewest.Org,Robert,Deever,6820 Ashworth Rd,West Des Moines,IA,50266,866107,Western Europe,Male,0.003270795
Countryside Christian,Countrysidefellowship.Com,Terry,Dawson,32534 W Van Duyn St,Coburg,OR,97408,866107,Western Europe,Male,0.003284796
Church Of The Holy Spirit,Churchholyspirit.Org,Philip,Carr-Jones,3 Haytown Rd,Lebanon,NJ,8833,866107,Western Europe,Male,0.003288068
Towaliga Co Line Church,Towaligacountylinebc.Org,Eddie F,Collier,153 Short Rd,Jackson,GA,30233,866107,Western Europe,Male,0.003290511
Bays Mountain Baptist Church,Harbor.Org,Tim,Haile,2000 Meadowview Pkwy,Kingsport,TN,37660,866107,African American,Male,0.00329777
Mckenna Community Church,Mckennacommunitychurch.Org,Matt,Schnetz,4108 350th St S # B,Roy,WA,98580,866107,Western Europe,Male,0.003298473
Evangelical Full Gospel,Efga-Stl.Com,,,11011 Tesson Ferry Rd,Saint Louis,MO,63123,866107,Uncoded,,0.003309114
Sunset Hills Baptist Church,Sunsethillschurch.Org,Ron,French,9416 Pacific St,Omaha,NE,68114,866107,Western Europe,Male,0.003309827
Gilman United Methodist Church,Gilmanumc.Org,Steve,Hartman,129 N Main St,Gilman,IL,60938,866107,Not Available,Male,0.003322183
Jenison Bible Church,Jenisonbible.Org,Stephen,Lebar,6360 14th Ave,Hudsonville,MI,49426,866107,Eastern European,Male,0.003335693
Trinity Lutheran Church,Trinitypleasanton.Org,Heidi,Hester,1225 Hopyard Rd,Pleasanton,CA,94566,866107,Western Europe,Female,0.0033377
Lebanon First United Mthdst,Lebanonmethodist.Org,Peter J,Wehrly,603 W Saint Louis St,Lebanon,IL,62254,866107,Uncoded,Male,0.00335407
Central Baptist Chr Dglsvll,Cbcdouglasville.Com,Charles,Turner,5811 Central Church Rd,Douglasville,GA,30135,866107,Western Europe,Male,0.003360411
Changing Lives-Christ Ministry,Changingforchrist.Com,Willie L,Farmer,2345 Hillside Rd,Riverdale,GA,30296,866127,Western Europe,Male,0.003392808
Liberty Christian Church,Libertychurchsalem.Com,,,4764 Skyline Rd S,Salem,OR,97306,866107,Uncoded,,0.003394114
First United Mthdst Chr-Phnx,Fumcphoenix.Org,Marion,Moore-Colgan,49 Jefferson St,Phoenix,NY,13135,866107,Western Europe,Female,0.003396214
Our Redeemer Lutheran Church,Hoodriverchurch.Com,David,King,1140 Tucker Rd,Hood River,OR,97031,866107,Western Europe,Male,0.003406077
Humboldt First Baptist Church,Fbchumboldt.Org,Greg,Mc Fadden,3400 Mitchell St,Humboldt,TN,38343,866107,Western Europe,Male,0.003407722
Pleasant Lake United Mthdst,Plumchurch.Org,John,Boyanowski,1160 W Main St,Pleasant Lake,IN,46779,866107,Eastern European,Male,0.003408627
Grandview Church Of Christ,Church-Of-Christ.Org,Bryce,Carpenter,116 Fir St,Grandview,WA,98930,866107,Western Europe,Male,0.003410151
St Paul's Episcopal Church,Stpauls.Dioup.Org,Kevin,Thew-Forrester,201 E Ridge St,Marquette,MI,49855,866107,Western Europe,Male,0.003419705
Center Grove United Mthdst Chr,Umc.Org,Jim,Bacon,7351 Highway 270 E,Sheridan,AR,72150,866107,Western Europe,Male,0.003433934
Royersford United Mthdst Chr,Royersfordumc.Org,Zabdiel Y,Khan,N 4th Ave & Church St,Royersford,PA,19468,866107,Middle Eastern,,0.003438263
First Presbyterian Church,Fpcallentown.Org,David,Haight,3231 W Tilghman St,Allentown,PA,18104,866107,Western Europe,Male,0.003439972
Bethel Colony South,Bethelcolonysouth.Org,Melvin,Jones,4114 Old Gentilly Rd,New Orleans,LA,70126,866107,Western Europe,Male,0.003448611
Hanson United Mthdst Chr-Mdsn,Umc.Org,Wayne,Albertson,290 NE Daisy St,Madison,FL,32340,866107,Western Europe,Male,0.003474678
Christ The King Luth Church,Ctklchurch.Org,Harry,Krolus,515 Academy Ave,Owings Mills,MD,21117,866107,Uncoded,Male,0.003478575
Pentecostal Tabernacle,Ptspice.Org,,,14319 W Kearney Blvd,Kerman,CA,93630,866107,Uncoded,,0.003486741
Wadsworth Nazarene Church,Wadsnaz.Com,Raynard,Martin,743 High St,Wadsworth,OH,44281,866107,African American,Male,0.003488401
St Luke Missionary Baptist Chr,Saintlukebc.Org,,,1025 Edgar D Nixon Ave,Montgomery,AL,36104,866107,Uncoded,,0.003488406
Jamestown-First Presbyterian,Jamestownpresbyterian.Org,Donald,Stanley,411 Liberty St,Jamestown,PA,16134,866107,Western Europe,Male,0.003493142
College Park Church,Yourchurch.Com,Mark,Vroegop,2606 W 96th St,Indianapolis,IN,46268,822101,Uncoded,Male,0.003495484
Newport Harbor Lutheran Day,Nhlcs.Org,Richard,Rollefson,798 Dover Dr,Newport Beach,CA,92663,866104,Uncoded,Male,0.003511068
Carpenters Campground United,Carpentersumc.Org,Peggy L,Meade,3538 Best Rd,Maryville,TN,37803,866104,Western Europe,Female,0.003519415
Midway Baptist Church,Mbcgalax.Org,Myron R,Dalton,834 Iron Ridge Rd,Galax,VA,24333,866107,Western Europe,Male,0.003532521
Summit Church Of Brethren,Summitcob.Org,Kim,Garrison,314 Summit Church Rd,Bridgewater,VA,22812,866107,Western Europe,Female,0.00353809
St Simons Episcopal Church,Stsimonsconyers.Com,Jeff,Clark,1522 Highway 138 NE,Conyers,GA,30013,866107,Western Europe,Male,0.003543515
Bloomington Bible Church,Bloomingtonbiblechurch.Org,Dennis,Powers,1008 E Emerson St,Bloomington,IL,61701,866107,Western Europe,Male,0.003551146
First Christian Church,Greensburgchristianchurch.Com,,,1210 S Main St,Greensburg,KS,67054,866107,Uncoded,,0.003571221
United Methodist Chr,Cor.Org,Adam,Hamilton,13720 Roe Blvd,Leawood,KS,66224,866107,Western Europe,Male,0.003576822
Easthaven Baptist Church,Easthaven.Net,Matt,Powell,130 Highway 84 E,Brookhaven,MS,39601,866107,Western Europe,Male,0.00358134
Abundant Life Full,Abundatlife-Fg.Org,Leroy,Theard,9900 Hayne Blvd,New Orleans,LA,70127,866107,African American,Male,0.003610969
Emmanuel Lutheran Church,Elclongview.Com,,,928 23rd Ave,Longview,WA,98632,866107,Uncoded,,0.003622423
Pleasant Valley Baptist Church,Goconference2017.Com,Merle,Mees,1600 N State Route 291,Liberty,MO,64068,866107,Western Europe,Male,0.003635738
St Bartholomew Luth Preschool,Saintbartskawkawlin.Com,Mark,Boileau,1033 E Beaver Rd,Kawkawlin,MI,48631,821101,Western Europe,Male,0.003640437
Mt Tabor Baptist Church,Mttaborbyers.Org,Za,Johnson,278 S Sherman St,Byers,CO,80103,866107,Western Europe,,0.003650467
Adams Lutheran Church,Argyleadamschurch.Com,,,N7148 County Road A,Argyle,WI,53504,866107,Uncoded,,0.003667004
Way Bible Church,Twbcss.Com,Joel,Tiemeyer,874 Farm Road 2560,Sulphur Springs,TX,75482,866107,Western Europe,Male,0.003701862
International Deliverance Ctr,Internationaldeliverancecenter.Com,Errol,Hall,8910 Miramar Pkwy # 213,Miramar,FL,33025,866107,Western Europe,Male,0.003714342
Bethel German Assembly Of God,Ag.Org,Matthew S,Darnell,7220 SE Duke St,Portland,OR,97206,866107,Western Europe,Male,0.00372155
Plymouth Ucc,Ucc.Org,Lucy,Jefferson,902 S Main St,Goshen,IN,46526,866107,Western Europe,Female,0.003734623
Old Paths Baptist Church,Oldpathsgrainvalley.Org,Chuck,Phelts,512 S Main St,Grain Valley,MO,64029,866107,Uncoded,Male,0.0037355
Ascension Lutheran Church,Ascensiontexas.Com,Kurt M,Friederich,1333 Belt Line Rd,Garland,TX,75040,866107,Western Europe,Male,0.003740908
Pineville Cumberland Prsbytrn,Pinevillecpchurch.Com,Isaac,Gray,Highway 223,Pineville,AR,72566,866107,Western Europe,Male,0.003751747
Friends Community Church,Friendschapel.Org,Augie,Monroy,8955 Kenwood Dr,Spring Valley,CA,91977,866107,Hispanic,Male,0.003758062
St Andrew's United Mthdst Chr,Trinitygnv.Org,Matt,Ranville,3905 Las Vegas Dr SW,Albuquerque,NM,87105,866107,Western Europe,Male,0.003760078
Lakeview Baptist Church,Lakeview.Life,Clint,Overton,877 W Cherry Ave,Selmer,TN,38375,866107,Western Europe,Male,0.003770271
Chapel In The Hills,Chapel-In-The-Hills.Org,Brian,Kringen,3788 Chapel Ln,Rapid City,SD,57702,866107,Scandinavian,Male,0.003785366
Apostolic Christian Holiness,End-Time.Org,Saundra,Madden,650 S Warren Ave,Columbus,OH,43204,866107,African American,Female,0.003792174
First Roanoke,Fbroanoke.Org,Bruce,Barber,209 N Pine St,Roanoke,TX,76262,866107,Western Europe,Male,0.003798805
Trinity Assembly Of God,Trinityag.20m.Com,Billy W,Hall,3202 Lower Wetumpka Rd,Montgomery,AL,36110,866107,Western Europe,Male,0.003822003
Armona Union Academy,Auaweb.Com,Erik,Borges,14435 Locust St,Armona,CA,93202,821101,Hispanic,Male,0.003842553
Rhema Christian Ctr,Rhemachristiancenter.Com,La Fayette,Scales,2100 Agler Rd,Columbus,OH,43224,866107,Western Europe,Male,0.003844976
Mountain Avenue Baptist Church,Mabconline.Com,Richard,Szydlowski,1325 Mountain Ave,Banning,CA,92220,866107,Eastern European,Male,0.003856795
Sovereign Grace Baptist Church,Gpp-5grace.Com,,,5069 Fairchild St,Swartz Creek,MI,48473,866107,Uncoded,,0.00385848
First Presbyterian Church,Fpclagrange.Org,Russ,Davidson,120 Broad St,Lagrange,GA,30240,866107,Western Europe,Male,0.003860207
Prince Of Peace Church,Poprockton.Com,Douglas L,Johnson,2336 Freeport Rd,Rockton,IL,61072,866107,Western Europe,Male,0.003862571
Grandview Church Of God,Grandviewchurchofgod.Com,,,21124 River Canyon Rd,Chattanooga,TN,37405,866107,Uncoded,,0.003864342
Excellent Covenant,Ecpowerhouse.Org,Kelvin,Nero,4103 Zephyr Rd,Killeen,TX,76543,866107,African American,Male,0.003875571
Reformed Church-Tinton Falls,Rctf.Org,David W,DE Forest,62 Hance Ave,Tinton Falls,NJ,7724,866107,Western Europe,Male,0.003881416
Emmanuel Baptist Church,Emmanuel-Baptist-Church.Com,Dale,Kinley,2300 Bringle Ferry Rd,Salisbury,NC,28146,866107,Western Europe,Male,0.003881909
Bethany Presbyterian Church,Fpccb.Org,,,30 South St,Washingtonville,NY,10992,866107,Uncoded,,0.003884668
Cresent Church Of Christ,Crescentchurch.Com,,,4915 Barfield Crescent Rd,Murfreesboro,TN,37128,866107,Uncoded,,0.003889385
First Assembly Of God,Stillwaterfirst.Org,Aaron L,Cole,1024 S Lewis St,Stillwater,OK,74074,866107,Western Europe,Male,0.003890647
Spring Branch Mission Bapt Chr,Springbranchmbc.Org,Darryl,Todd,21300 Old Wire Rd,Wagram,NC,28396,866107,Western Europe,Male,0.003897222
Community Bible Church,Cbcmi.Com,Thomas,Hampton,1888 Crescent Lake Rd,Waterford,MI,48327,866107,Western Europe,Male,0.003909784
College Street Baptist Church,Collegestreetbaptist.Org,Kenneth,Ferrell,3240 College St,Newberry,SC,29108,822101,Western Europe,Male,0.003920919
Noordeloos Christian Chr,Noordelooscrc.Org,Mark,Vande Zande,4055 112th Ave,Holland,MI,49424,866107,Western Europe,Male,0.003931301
St Saviour's Episcopal Church,Stsaviours.Me,,,41 Mount Desert St,Bar Harbor,ME,4609,866107,Uncoded,,0.003933462
Cornerstone Community Church,Cornerstoneoncapen.Com,,,49 Capen Blvd,Buffalo,NY,14214,866107,Uncoded,,0.003948666
Moapa Christian Church,Moapachristianchurch.Com,William,Lang,5 Bowlin St,Moapa,NV,89025,866107,Eastern European,Male,0.003948821
First Baptist Church Of Folsom,Fbcfolsom.Com,Hilary,Albarado,13320 Broadway St,Folsom,LA,70437,866107,Hispanic,Female,0.003950859
Resurrection United Mthdst Chr,Resurrectionumc.Org,Robert,Simpson,4705 Old Chapel Hill Rd,Durham,NC,27707,866107,Western Europe,Male,0.003967987
St Marks Missionary Baptist,Stmarkva.Org,Curtis E,Edmonds Sr,2714 Frederick Blvd,Portsmouth,VA,23704,866107,Western Europe,Male,0.003972139
Ballston Spa Presbyterian Chr,Ballstonpresby.Org,,,22 W High St,Ballston Spa,NY,12020,866107,Uncoded,,0.003977217
Calvary Baptist Church,Calbaptist.Org,,,3286 Porter Ave,Ogden,UT,84403,866107,Uncoded,,0.003984742
Hartland First Baptist Church,Hartlandfirstbaptist.Com,Tom,Brown,10 Elm St,Hartland,ME,4943,866107,Western Europe,Male,0.003994479
Trinity Lutheran Church,Trinityklein.Org,Stephen M,Brennan,5201 Spring Cypress Rd,Spring,TX,77379,866107,Western Europe,Male,0.003998742
Gulf Haven Mennonite Church,Gulfhaven.Org,Dave,Weaver,21497 Mennonite Rd,Gulfport,MS,39503,866107,Western Europe,Male,0.004003125
Calvary Freewill Baptist Chr,Calvarybaptistusa.Org,,,490 Griggs Rd,Clover,SC,29710,866107,Uncoded,,0.004003907
Horizon Church,Horizonchurchtucson.Com,,,3696 W Orange Grove Rd,Tucson,AZ,85741,866107,Uncoded,,0.004013861
Harvest Bible Chapel Nprvll,Harvestcamps.Com,Ron,Zappia,1805 High Point Dr # 400,Naperville,IL,60563,866107,Mediterranean,Male,0.00401482
Fayetteville Bible Church,Fbgc.Org,Wayne,Turner,355 Mcdonough Rd,Fayetteville,GA,30214,866107,Western Europe,Male,0.004019495
Lakestreet United Methdst Chr,Lakestreetumc.Org,Ellen,Prellwitz,337 Lake St # A,Eau Claire,WI,54703,866107,Not Available,Female,0.004024808
First Assembly Of God,Firstassemblylancaster.Com,Wendell H,Johnson Jr,495 Industry Rd,Lancaster,KY,40444,866107,Western Europe,Male,0.004044383
First Christian Church,Firstchristiantullahoma.Org,Pam,Bussell,120 W Grundy St,Tullahoma,TN,37388,866107,Western Europe,Female,0.004044584
Immanuel Baptist Church,Sojourntraverse.Com,Matthew,Herron,1027 Mc Rae Hill Rd,Traverse City,MI,49685,866107,Western Europe,Male,0.004049099
Love & Faith Fellowship Church,Local.Yahoo.Com,,,1009 Rees St,Greenville,TX,75401,866107,Uncoded,,0.004051838
Pleasant Valley Baptist Church,Pleasantvalleybaptistuno.Com,Robert,Ward,6070 Lonoke Rd,Horse Cave,KY,42749,866107,Western Europe,Male,0.004061025
Our Savior Lutheran Church,Oursaviorsnewulm.Org,Mark,Youngquist,107 N Broadway Ave,Rembrandt,IA,50576,866107,Scandinavian,Male,0.004068602
Gateway Worship Ctr,Gatewayworshipcenter.Info,David G,Langwell,2143 S Ww White Rd,San Antonio,TX,78222,866107,Western Europe,Male,0.004069799
Chinese Christian & Missionary,Pccma.Org,Himsy,Hui,7435 SE Foster Rd,Portland,OR,97206,866107,Far Eastern,Male,0.00407429
Pond Church Of Christ,Pondchurchofchrist.Com,Bobby,Prosser,650 Pond Rd,Dickson,TN,37055,866107,Western Europe,Male,0.004080813
Ellsinore General Baptist Chr,Ellsinore.Com,,,12 W Broadway,Ellsinore,MO,63937,866107,Uncoded,,0.0041032
First Ashville Baptist Church,Fapc.Net,William,Swann,4218 Ashville Rd,Marshall,VA,20115,866107,Western Europe,Male,0.004105013
Non-Denominational Church,Trinitychristiancenterchurch.Net,,,1723 W American Blvd,Muleshoe,TX,79347,866107,Uncoded,,0.004117202
Promise Land Crisis Ctr,Promiselandministry.Com,Brandon,Wilson,1815 Highway 129,Galivants Ferry,SC,29544,866107,Western Europe,Male,0.004127902
Cathedral Of Praise,Cathedralofpraiseag.Com,Randel,Mc Carty,8200 Macon Rd,Cordova,TN,38018,866107,Western Europe,Male,0.004132078
Newsome Street Chr Of Christ,Newsomestreetcoc.Com,Eugene,Godfrey,202 S Newsom St,Hahira,GA,31632,866107,Western Europe,Male,0.004136671
Friendship Baptist Church,Friendbc.Org,,,188 Mill St,Friendship,TN,38034,866107,Uncoded,,0.004138287
Oro Grande Church Of Christ,Oro-Grande-Church-Of-Christ.Org,Keith,Mcintyre,3439 Oro Grande Blvd,Lake Havasu City,AZ,86406,866107,Western Europe,Male,0.004149896
Duanesburg Reformed Pca,Duanesburgchurch.Org,Kenneth,Mcheard,6512 Western Tpke,Duanesburg,NY,12056,866107,Uncoded,Male,0.004150186
Celebration Of Faith LGBT,Celebrationoffaith.Org,David,Harvey,938 The Alameda,San Jose,CA,95126,866107,Western Europe,Male,0.004152692
First Baptist Church,Calumetfirst.Org,Bruce E,Nolen,26031 Depot St,Calumet,MI,49913,866107,Western Europe,Male,0.004191076
Mt Ararat Baptist Church,Mtararat.Org,,,529 S Bowie St,Bartlett,TX,76511,866107,Uncoded,,0.004197673
Harbor Baptist Church,Harborbaptistchurch.Org,Kenneth,Simmons,5801 Old Concord Rd,Charlotte,NC,28213,866107,Western Europe,Male,0.004213436
Bayview Baptist Church,Bvbcwashington.Org,Keith D,Thibo,22648 Grosenbach Rd,Washington,IL,61571,866107,Western Europe,Male,0.00421347
Sandusky Community Nazarene,Sanduskynazarene.Org,David,Flack,1617 Milan Rd,Sandusky,OH,44870,866107,Western Europe,Male,0.004216909
First Baptist Church Of Helena,Garbc.Org,John,Merck,6308 Wildwood Rd,Moss Point,MS,39562,866107,Western Europe,Male,0.004220225
First Assembly Of God,Capefirst.Me,Sammy C,Lee,112 Club Dr,Mcminnville,TN,37110,866107,Western Europe,Male,0.004244066
Blue Ridge Trinity Lutheran,Brtraytown.Org,Tim,Feiertag,5757 Blue Ridge Blvd,Raytown,MO,64133,866107,Western Europe,Male,0.004252294
St Paul's Episcopal Church,Stpaulspetersburg.Org,D R,Greenwood,110 N Union St,Petersburg,VA,23803,866107,Western Europe,Male,0.004255759
New Life Assembly Of God,Newlifeaogmorehead.Com,Allen,Causey,301 Friendly Rd,Morehead City,NC,28557,866107,Western Europe,Male,0.004256089
Victory Temple Church Of God,Vtministrieswny.Org,Curtis,Hollie,186 Box Ave,Buffalo,NY,14211,866107,Western Europe,Male,0.004262612
Lapeer Church Of Christ,Lapeercoc.Com,Kent,Hoggatt,1680 N Lapeer Rd,Lapeer,MI,48446,866107,Western Europe,Male,0.004271253
Oakridge Community Church,Oakridgecommunity.Org,Jim,Odens,610 County Road 5,Stillwater,MN,55082,866107,Western Europe,Male,0.004272831
First Mt Vernon United Mthdst,Firstumcmv.Com,Fred,Haywood,601 Main St # A,Mount Vernon,IN,47620,866107,Western Europe,Male,0.004282771
Church Of Christ,Mtnhomechurchofchrist.Com,Gary,Epps,340 E 11th St,Mountain Home,AR,72653,866107,Western Europe,Male,0.004288983
New Salem Baptist Church,Newsalembc.Com,,,251 New Salem Rd,Seguin,TX,78155,866107,Uncoded,,0.004293367
Alive Gathering,Tagministries.Com,,,6820 Commercial Dr,Springfield,VA,22151,866107,Uncoded,,0.004296049
Elk City United Methodist Chr,Elkcityumc.Com,Terry,Koehn,720 W Country Club Blvd,Elk City,OK,73644,866107,Western Europe,Male,0.004298169
Christ Lutheran Church,Christlutheranmustang.Com,David,Owens,501 N Clear Springs Rd,Mustang,OK,73064,866107,Western Europe,Male,0.004304341
Lagrange Church Of Christ,Lagrangecoc.Net,Dean,Hoggatt,407 S Townline Rd,Lagrange,IN,46761,866107,Western Europe,Male,0.004329718
Broadway Baptist Chr Houston,Broadwaychurchonline.Com,Randy,Fowler,7300 Lawndale St,Houston,TX,77012,866107,Western Europe,Male,0.004336598
Emmanuel Missionary Bapt Chr,Emmanuelmbc.Com,Darryl,Webster,4958 Ribble Rd,Indianapolis,IN,46218,866107,Western Europe,Male,0.004342144
Mission Hills Christian Church,Missionhillsla.Com,Ryan,Pryor,14941 Devonshire St,Mission Hills,CA,91345,866107,Western Europe,Male,0.004346877
Northwest Baptist Church,Nwbchouston.Org,Timothy,Dulany,1710 W 34th St,Houston,TX,77018,866107,Western Europe,Male,0.004349379
Upper Tinicum Luthern Church,Utlc.Embarqspace.Com,Roger,Dennis,188 Upper Tinicum Church Rd,Upper Black Eddy,PA,18972,866107,Western Europe,Male,0.004353578
Emmanuel Baptist Church,Ebccortland.Org,Jim,Hundley,2267 Ridge Rd,Cortland,NY,13045,866107,Western Europe,Male,0.004357157
